REF_DATE,GEO,Gender,Type of corporation,Industry,VALUE
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,97.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,162.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,44.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,118.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,369.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,297.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,86.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,211.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,47.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,238.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,198.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,64.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,134.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,31.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,12.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,4.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,8.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,64.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,15.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,3.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,12.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,74.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,31.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,3.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,28.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,51.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,140.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,54.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,86.0
2016,"Canada, total",Women,Total all corporations,Distributive trade,18.0
2016,"Canada, total",Women,Total all corporations,Energy,104.0
2016,"Canada, total",Women,Total all corporations,Energy,113.0
2016,"Canada, total",Women,Total all corporations,Energy,42.0
2016,"Canada, total",Women,Total all corporations,Energy,71.0
2016,"Canada, total",Women,Total all corporations,Energy,11.0
2016,"Canada, total",Women,Total all corporations,Energy,19.0
2016,"Canada, total",Women,Total all corporations,Energy,10.0
2016,"Canada, total",Women,Total all corporations,Energy,9.0
2016,"Canada, total",Women,Total all corporations,Energy,6.0
2016,"Canada, total",Women,Total all corporations,Energy,15.0
2016,"Canada, total",Women,Total all corporations,Energy,5.0
2016,"Canada, total",Women,Total all corporations,Energy,10.0
2016,"Canada, total",Women,Total all corporations,Energy,4.0
2016,"Canada, total",Women,Total all corporations,Energy,19.0
2016,"Canada, total",Women,Total all corporations,Energy,5.0
2016,"Canada, total",Women,Total all corporations,Energy,14.0
2016,"Canada, total",Women,Total all corporations,Energy,82.0
2016,"Canada, total",Women,Total all corporations,Energy,60.0
2016,"Canada, total",Women,Total all corporations,Energy,22.0
2016,"Canada, total",Women,Total all corporations,Energy,38.0
2016,"Canada, total",Women,Total all corporations,Energy,1.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,144.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,172.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,59.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,113.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,18.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,15.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,3.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,12.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,25.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,13.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,2.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,11.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,17.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,27.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,7.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,20.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,72.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,117.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,47.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,70.0
2016,"Canada, total",Women,Total all corporations,Manufacturing,12.0
2016,"Canada, total",Women,Total all corporations,Construction,96.0
2016,"Canada, total",Women,Total all corporations,Construction,163.0
2016,"Canada, total",Women,Total all corporations,Construction,73.0
2016,"Canada, total",Women,Total all corporations,Construction,90.0
2016,"Canada, total",Women,Total all corporations,Construction,28.0
2016,"Canada, total",Women,Total all corporations,Construction,49.0
2016,"Canada, total",Women,Total all corporations,Construction,29.0
2016,"Canada, total",Women,Total all corporations,Construction,20.0
2016,"Canada, total",Women,Total all corporations,Construction,26.0
2016,"Canada, total",Women,Total all corporations,Construction,23.0
2016,"Canada, total",Women,Total all corporations,Construction,14.0
2016,"Canada, total",Women,Total all corporations,Construction,9.0
2016,"Canada, total",Women,Total all corporations,Construction,26.0
2016,"Canada, total",Women,Total all corporations,Construction,30.0
2016,"Canada, total",Women,Total all corporations,Construction,17.0
2016,"Canada, total",Women,Total all corporations,Construction,13.0
2016,"Canada, total",Women,Total all corporations,Construction,16.0
2016,"Canada, total",Women,Total all corporations,Construction,61.0
2016,"Canada, total",Women,Total all corporations,Construction,13.0
2016,"Canada, total",Women,Total all corporations,Construction,48.0
2016,"Canada, total",Women,Total all corporations,Construction,0.0
2016,"Canada, total",Women,Total all corporations,Other industry,812.0
2016,"Canada, total",Women,Total all corporations,Other industry,1071.0
2016,"Canada, total",Women,Total all corporations,Other industry,282.0
2016,"Canada, total",Women,Total all corporations,Other industry,789.0
2016,"Canada, total",Women,Total all corporations,Other industry,258.0
2016,"Canada, total",Women,Total all corporations,Other industry,246.0
2016,"Canada, total",Women,Total all corporations,Other industry,58.0
2016,"Canada, total",Women,Total all corporations,Other industry,188.0
2016,"Canada, total",Women,Total all corporations,Other industry,165.0
2016,"Canada, total",Women,Total all corporations,Other industry,324.0
2016,"Canada, total",Women,Total all corporations,Other industry,83.0
2016,"Canada, total",Women,Total all corporations,Other industry,241.0
2016,"Canada, total",Women,Total all corporations,Other industry,158.0
2016,"Canada, total",Women,Total all corporations,Other industry,227.0
2016,"Canada, total",Women,Total all corporations,Other industry,55.0
2016,"Canada, total",Women,Total all corporations,Other industry,172.0
2016,"Canada, total",Women,Total all corporations,Other industry,172.0
2016,"Canada, total",Women,Total all corporations,Other industry,274.0
2016,"Canada, total",Women,Total all corporations,Other industry,86.0
2016,"Canada, total",Women,Total all corporations,Other industry,188.0
2016,"Canada, total",Women,Total all corporations,Other industry,59.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,213.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,212.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,47.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,165.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,46.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,99.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,27.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,72.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,17.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,51.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,12.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,39.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,29.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,43.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,4.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,39.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,49.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,19.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,4.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,15.0
2016,"Canada, total",Women,Total all corporations,Unclassified industry,72.0
2016,"Canada, total",Men,Total all corporations,Finance,3645.0
2016,"Canada, total",Men,Total all corporations,Finance,3069.0
2016,"Canada, total",Men,Total all corporations,Finance,1289.0
2016,"Canada, total",Men,Total all corporations,Finance,1780.0
2016,"Canada, total",Men,Total all corporations,Finance,727.0
2016,"Canada, total",Men,Total all corporations,Finance,586.0
2016,"Canada, total",Men,Total all corporations,Finance,274.0
2016,"Canada, total",Men,Total all corporations,Finance,312.0
2016,"Canada, total",Men,Total all corporations,Finance,476.0
2016,"Canada, total",Men,Total all corporations,Finance,569.0
2016,"Canada, total",Men,Total all corporations,Finance,283.0
2016,"Canada, total",Men,Total all corporations,Finance,286.0
2016,"Canada, total",Men,Total all corporations,Finance,628.0
2016,"Canada, total",Men,Total all corporations,Finance,560.0
2016,"Canada, total",Men,Total all corporations,Finance,259.0
2016,"Canada, total",Men,Total all corporations,Finance,301.0
2016,"Canada, total",Men,Total all corporations,Finance,1498.0
2016,"Canada, total",Men,Total all corporations,Finance,1354.0
2016,"Canada, total",Men,Total all corporations,Finance,473.0
2016,"Canada, total",Men,Total all corporations,Finance,881.0
2016,"Canada, total",Men,Total all corporations,Finance,316.0
2016,"Canada, total",Men,Total all corporations,Utilities,305.0
2016,"Canada, total",Men,Total all corporations,Utilities,301.0
2016,"Canada, total",Men,Total all corporations,Utilities,134.0
2016,"Canada, total",Men,Total all corporations,Utilities,167.0
2016,"Canada, total",Men,Total all corporations,Utilities,30.0
2016,"Canada, total",Men,Total all corporations,Utilities,58.0
2016,"Canada, total",Men,Total all corporations,Utilities,23.0
2016,"Canada, total",Men,Total all corporations,Utilities,35.0
2016,"Canada, total",Men,Total all corporations,Utilities,20.0
2016,"Canada, total",Men,Total all corporations,Utilities,46.0
2016,"Canada, total",Men,Total all corporations,Utilities,13.0
2016,"Canada, total",Men,Total all corporations,Utilities,33.0
2016,"Canada, total",Men,Total all corporations,Utilities,50.0
2016,"Canada, total",Men,Total all corporations,Utilities,39.0
2016,"Canada, total",Men,Total all corporations,Utilities,13.0
2016,"Canada, total",Men,Total all corporations,Utilities,26.0
2016,"Canada, total",Men,Total all corporations,Utilities,195.0
2016,"Canada, total",Men,Total all corporations,Utilities,158.0
2016,"Canada, total",Men,Total all corporations,Utilities,85.0
2016,"Canada, total",Men,Total all corporations,Utilities,73.0
2016,"Canada, total",Men,Total all corporations,Utilities,10.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,2577.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,1564.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,707.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,857.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,181.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,189.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,66.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,123.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,226.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,301.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,130.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,171.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,471.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,445.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,201.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,244.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,1533.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,629.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,310.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,319.0
2016,"Canada, total",Men,Total all corporations,Management of companies and enterprises,166.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,1332.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,514.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,238.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,276.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,194.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,31.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,17.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,14.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,379.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,55.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,17.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,38.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,408.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,76.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,17.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,59.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,231.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,352.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,187.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,165.0
2016,"Canada, total",Men,Total all corporations,Distributive trade,120.0
2016,"Canada, total",Men,Total all corporations,Energy,646.0
2016,"Canada, total",Men,Total all corporations,Energy,480.0
2016,"Canada, total",Men,Total all corporations,Energy,250.0
2016,"Canada, total",Men,Total all corporations,Energy,230.0
2016,"Canada, total",Men,Total all corporations,Energy,45.0
2016,"Canada, total",Men,Total all corporations,Energy,50.0
2016,"Canada, total",Men,Total all corporations,Energy,32.0
2016,"Canada, total",Men,Total all corporations,Energy,18.0
2016,"Canada, total",Men,Total all corporations,Energy,47.0
2016,"Canada, total",Men,Total all corporations,Energy,44.0
2016,"Canada, total",Men,Total all corporations,Energy,24.0
2016,"Canada, total",Men,Total all corporations,Energy,20.0
2016,"Canada, total",Men,Total all corporations,Energy,39.0
2016,"Canada, total",Men,Total all corporations,Energy,71.0
2016,"Canada, total",Men,Total all corporations,Energy,26.0
2016,"Canada, total",Men,Total all corporations,Energy,45.0
2016,"Canada, total",Men,Total all corporations,Energy,492.0
2016,"Canada, total",Men,Total all corporations,Energy,315.0
2016,"Canada, total",Men,Total all corporations,Energy,168.0
2016,"Canada, total",Men,Total all corporations,Energy,147.0
2016,"Canada, total",Men,Total all corporations,Energy,23.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,874.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,688.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,346.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,342.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,95.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,26.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,10.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,16.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,164.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,70.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,18.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,52.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,141.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,86.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,40.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,46.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,379.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,506.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,278.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,228.0
2016,"Canada, total",Men,Total all corporations,Manufacturing,95.0
2016,"Canada, total",Men,Total all corporations,Construction,576.0
2016,"Canada, total",Men,Total all corporations,Construction,695.0
2016,"Canada, total",Men,Total all corporations,Construction,303.0
2016,"Canada, total",Men,Total all corporations,Construction,392.0
2016,"Canada, total",Men,Total all corporations,Construction,154.0
2016,"Canada, total",Men,Total all corporations,Construction,222.0
2016,"Canada, total",Men,Total all corporations,Construction,109.0
2016,"Canada, total",Men,Total all corporations,Construction,113.0
2016,"Canada, total",Men,Total all corporations,Construction,122.0
2016,"Canada, total",Men,Total all corporations,Construction,104.0
2016,"Canada, total",Men,Total all corporations,Construction,44.0
2016,"Canada, total",Men,Total all corporations,Construction,60.0
2016,"Canada, total",Men,Total all corporations,Construction,166.0
2016,"Canada, total",Men,Total all corporations,Construction,136.0
2016,"Canada, total",Men,Total all corporations,Construction,56.0
2016,"Canada, total",Men,Total all corporations,Construction,80.0
2016,"Canada, total",Men,Total all corporations,Construction,69.0
2016,"Canada, total",Men,Total all corporations,Construction,233.0
2016,"Canada, total",Men,Total all corporations,Construction,94.0
2016,"Canada, total",Men,Total all corporations,Construction,139.0
2016,"Canada, total",Men,Total all corporations,Construction,65.0
2016,"Canada, total",Men,Total all corporations,Other industry,3431.0
2016,"Canada, total",Men,Total all corporations,Other industry,2437.0
2016,"Canada, total",Men,Total all corporations,Other industry,1196.0
2016,"Canada, total",Men,Total all corporations,Other industry,1241.0
2016,"Canada, total",Men,Total all corporations,Other industry,1127.0
2016,"Canada, total",Men,Total all corporations,Other industry,558.0
2016,"Canada, total",Men,Total all corporations,Other industry,253.0
2016,"Canada, total",Men,Total all corporations,Other industry,305.0
2016,"Canada, total",Men,Total all corporations,Other industry,600.0
2016,"Canada, total",Men,Total all corporations,Other industry,606.0
2016,"Canada, total",Men,Total all corporations,Other industry,299.0
2016,"Canada, total",Men,Total all corporations,Other industry,307.0
2016,"Canada, total",Men,Total all corporations,Other industry,623.0
2016,"Canada, total",Men,Total all corporations,Other industry,506.0
2016,"Canada, total",Men,Total all corporations,Other industry,247.0
2016,"Canada, total",Men,Total all corporations,Other industry,259.0
2016,"Canada, total",Men,Total all corporations,Other industry,784.0
2016,"Canada, total",Men,Total all corporations,Other industry,767.0
2016,"Canada, total",Men,Total all corporations,Other industry,397.0
2016,"Canada, total",Men,Total all corporations,Other industry,370.0
2016,"Canada, total",Men,Total all corporations,Other industry,297.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,658.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,366.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,216.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,150.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,187.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,178.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,118.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,60.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,101.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,85.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,43.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,42.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,108.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,59.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,27.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,32.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,164.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,44.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,28.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,16.0
2016,"Canada, total",Men,Total all corporations,Unclassified industry,98.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,5.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,3.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Finance,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,3.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,3.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Utilities,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,6.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,2.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,1.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,1.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,4.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,1.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,1.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Management of companies and enterprises,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
2016,Newfoundland and Labrador,Women,Total all corporations,Distributive trade,0.0
