REF_DATE,Gender,GEO,VALUE,Industry,Type of corporation
2016,Men,"Canada, total",0.0,Utilities,Government business entities
2016,Men,"Canada, total",3.0,Management of companies and enterprises,Government business entities
2016,Men,"Canada, total",9.0,Distributive trade,Government business entities
2016,Men,"Canada, total",0.0,Energy,Government business entities
2016,Men,"Canada, total",0.0,Manufacturing,Government business entities
2016,Men,"Canada, total",0.0,Construction,Government business entities
2016,Men,"Canada, total",17.0,Other industry,Government business entities
2016,Men,"Canada, total",0.0,Unclassified industry,Government business entities
2016,Men,"Canada, total",209.0,Total all industries,Publicly traded corporations
2016,Men,"Canada, total",94.0,Finance,Publicly traded corporations
2016,Men,"Canada, total",11.0,Utilities,Publicly traded corporations
2016,Men,"Canada, total",42.0,Management of companies and enterprises,Publicly traded corporations
2016,Men,"Canada, total",6.0,Distributive trade,Publicly traded corporations
2016,Men,"Canada, total",3.0,Energy,Publicly traded corporations
2016,Men,"Canada, total",19.0,Manufacturing,Publicly traded corporations
2016,Men,"Canada, total",2.0,Construction,Publicly traded corporations
2016,Men,"Canada, total",23.0,Other industry,Publicly traded corporations
2016,Men,"Canada, total",9.0,Unclassified industry,Publicly traded corporations
2016,Men,"Canada, total",9876.0,Total all industries,Private enterprises
2016,Men,"Canada, total",2975.0,Finance,Private enterprises
2016,Men,"Canada, total",290.0,Utilities,Private enterprises
2016,Men,"Canada, total",1519.0,Management of companies and enterprises,Private enterprises
2016,Men,"Canada, total",499.0,Distributive trade,Private enterprises
2016,Men,"Canada, total",477.0,Energy,Private enterprises
2016,Men,"Canada, total",669.0,Manufacturing,Private enterprises
2016,Men,"Canada, total",693.0,Construction,Private enterprises
2016,Men,"Canada, total",2397.0,Other industry,Private enterprises
2016,Men,"Canada, total",357.0,Unclassified industry,Private enterprises
2016,Men,"Canada, total",0.0,Total all industries,Unclassified enterprises
2016,Men,"Canada, total",0.0,Finance,Unclassified enterprises
2016,Men,"Canada, total",0.0,Utilities,Unclassified enterprises
2016,Men,"Canada, total",0.0,Management of companies and enterprises,Unclassified enterprises
2016,Men,"Canada, total",0.0,Distributive trade,Unclassified enterprises
2016,Men,"Canada, total",0.0,Energy,Unclassified enterprises
2016,Men,"Canada, total",0.0,Manufacturing,Unclassified enterprises
2016,Men,"Canada, total",0.0,Construction,Unclassified enterprises
2016,Men,"Canada, total",0.0,Other industry,Unclassified enterprises
2016,Men,"Canada, total",0.0,Unclassified industry,Unclassified enterprises
2016,Women,Newfoundland and Labrador,12.0,Total all industries,Total all corporations
2016,Women,Newfoundland and Labrador,0.0,Finance,Total all corporations
2016,Women,Newfoundland and Labrador,2.0,Utilities,Total all corporations
2016,Women,Newfoundland and Labrador,2.0,Management of companies and enterprises,Total all corporations
2016,Women,Newfoundland and Labrador,0.0,Distributive trade,Total all corporations
2016,Women,Newfoundland and Labrador,0.0,Energy,Total all corporations
2016,Women,Newfoundland and Labrador,3.0,Manufacturing,Total all corporations
2016,Women,Newfoundland and Labrador,2.0,Construction,Total all corporations
2016,Women,Newfoundland and Labrador,3.0,Other industry,Total all corporations
2016,Women,Newfoundland and Labrador,0.0,Unclassified industry,Total all corporations
2016,Women,Newfoundland and Labrador,0.0,Total all industries,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Finance,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Utilities,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Management of companies and enterprises,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Distributive trade,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Energy,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Manufacturing,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Construction,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Other industry,Government business entities
2016,Women,Newfoundland and Labrador,0.0,Unclassified industry,Government business entities
2016,Women,Newfoundland and Labrador,1.0,Total all industries,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Finance,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Utilities,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Distributive trade,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Energy,Publicly traded corporations
2016,Women,Newfoundland and Labrador,1.0,Manufacturing,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Construction,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Other industry,Publicly traded corporations
2016,Women,Newfoundland and Labrador,0.0,Unclassified industry,Publicly traded corporations
2016,Women,Newfoundland and Labrador,11.0,Total all industries,Private enterprises
2016,Women,Newfoundland and Labrador,0.0,Finance,Private enterprises
2016,Women,Newfoundland and Labrador,2.0,Utilities,Private enterprises
2016,Women,Newfoundland and Labrador,2.0,Management of companies and enterprises,Private enterprises
2016,Women,Newfoundland and Labrador,0.0,Distributive trade,Private enterprises
2016,Women,Newfoundland and Labrador,0.0,Energy,Private enterprises
2016,Women,Newfoundland and Labrador,2.0,Manufacturing,Private enterprises
2016,Women,Newfoundland and Labrador,2.0,Construction,Private enterprises
2016,Women,Newfoundland and Labrador,3.0,Other industry,Private enterprises
2016,Women,Newfoundland and Labrador,0.0,Unclassified industry,Private enterprises
2016,Women,Newfoundland and Labrador,0.0,Total all industries,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Finance,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Utilities,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Distributive trade,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Energy,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Manufacturing,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Construction,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Other industry,Unclassified enterprises
2016,Women,Newfoundland and Labrador,0.0,Unclassified industry,Unclassified enterprises
2016,Men,Newfoundland and Labrador,46.0,Total all industries,Total all corporations
2016,Men,Newfoundland and Labrador,3.0,Finance,Total all corporations
2016,Men,Newfoundland and Labrador,3.0,Utilities,Total all corporations
2016,Men,Newfoundland and Labrador,13.0,Management of companies and enterprises,Total all corporations
2016,Men,Newfoundland and Labrador,0.0,Distributive trade,Total all corporations
2016,Men,Newfoundland and Labrador,0.0,Energy,Total all corporations
2016,Men,Newfoundland and Labrador,10.0,Manufacturing,Total all corporations
2016,Men,Newfoundland and Labrador,10.0,Construction,Total all corporations
2016,Men,Newfoundland and Labrador,7.0,Other industry,Total all corporations
2016,Men,Newfoundland and Labrador,0.0,Unclassified industry,Total all corporations
2016,Men,Newfoundland and Labrador,0.0,Total all industries,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Finance,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Utilities,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Management of companies and enterprises,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Distributive trade,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Energy,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Manufacturing,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Construction,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Other industry,Government business entities
2016,Men,Newfoundland and Labrador,0.0,Unclassified industry,Government business entities
2016,Men,Newfoundland and Labrador,5.0,Total all industries,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Finance,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Utilities,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Distributive trade,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Energy,Publicly traded corporations
2016,Men,Newfoundland and Labrador,5.0,Manufacturing,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Construction,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Other industry,Publicly traded corporations
2016,Men,Newfoundland and Labrador,0.0,Unclassified industry,Publicly traded corporations
2016,Men,Newfoundland and Labrador,41.0,Total all industries,Private enterprises
2016,Men,Newfoundland and Labrador,3.0,Finance,Private enterprises
2016,Men,Newfoundland and Labrador,3.0,Utilities,Private enterprises
2016,Men,Newfoundland and Labrador,13.0,Management of companies and enterprises,Private enterprises
2016,Men,Newfoundland and Labrador,0.0,Distributive trade,Private enterprises
2016,Men,Newfoundland and Labrador,0.0,Energy,Private enterprises
2016,Men,Newfoundland and Labrador,5.0,Manufacturing,Private enterprises
2016,Men,Newfoundland and Labrador,10.0,Construction,Private enterprises
2016,Men,Newfoundland and Labrador,7.0,Other industry,Private enterprises
2016,Men,Newfoundland and Labrador,0.0,Unclassified industry,Private enterprises
2016,Men,Newfoundland and Labrador,0.0,Total all industries,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Finance,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Utilities,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Distributive trade,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Energy,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Manufacturing,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Construction,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Other industry,Unclassified enterprises
2016,Men,Newfoundland and Labrador,0.0,Unclassified industry,Unclassified enterprises
2016,Women,Prince Edward Island,3.0,Total all industries,Total all corporations
2016,Women,Prince Edward Island,0.0,Finance,Total all corporations
2016,Women,Prince Edward Island,0.0,Utilities,Total all corporations
2016,Women,Prince Edward Island,0.0,Management of companies and enterprises,Total all corporations
2016,Women,Prince Edward Island,0.0,Distributive trade,Total all corporations
2016,Women,Prince Edward Island,0.0,Energy,Total all corporations
2016,Women,Prince Edward Island,0.0,Manufacturing,Total all corporations
2016,Women,Prince Edward Island,0.0,Construction,Total all corporations
2016,Women,Prince Edward Island,3.0,Other industry,Total all corporations
2016,Women,Prince Edward Island,0.0,Unclassified industry,Total all corporations
2016,Women,Prince Edward Island,0.0,Total all industries,Government business entities
2016,Women,Prince Edward Island,0.0,Finance,Government business entities
2016,Women,Prince Edward Island,0.0,Utilities,Government business entities
2016,Women,Prince Edward Island,0.0,Management of companies and enterprises,Government business entities
2016,Women,Prince Edward Island,0.0,Distributive trade,Government business entities
2016,Women,Prince Edward Island,0.0,Energy,Government business entities
2016,Women,Prince Edward Island,0.0,Manufacturing,Government business entities
2016,Women,Prince Edward Island,0.0,Construction,Government business entities
2016,Women,Prince Edward Island,0.0,Other industry,Government business entities
2016,Women,Prince Edward Island,0.0,Unclassified industry,Government business entities
2016,Women,Prince Edward Island,0.0,Total all industries,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Finance,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Utilities,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Distributive trade,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Energy,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Manufacturing,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Construction,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Other industry,Publicly traded corporations
2016,Women,Prince Edward Island,0.0,Unclassified industry,Publicly traded corporations
2016,Women,Prince Edward Island,3.0,Total all industries,Private enterprises
2016,Women,Prince Edward Island,0.0,Finance,Private enterprises
2016,Women,Prince Edward Island,0.0,Utilities,Private enterprises
2016,Women,Prince Edward Island,0.0,Management of companies and enterprises,Private enterprises
2016,Women,Prince Edward Island,0.0,Distributive trade,Private enterprises
2016,Women,Prince Edward Island,0.0,Energy,Private enterprises
2016,Women,Prince Edward Island,0.0,Manufacturing,Private enterprises
2016,Women,Prince Edward Island,0.0,Construction,Private enterprises
2016,Women,Prince Edward Island,3.0,Other industry,Private enterprises
2016,Women,Prince Edward Island,0.0,Unclassified industry,Private enterprises
2016,Women,Prince Edward Island,0.0,Total all industries,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Finance,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Utilities,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Distributive trade,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Energy,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Manufacturing,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Construction,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Other industry,Unclassified enterprises
2016,Women,Prince Edward Island,0.0,Unclassified industry,Unclassified enterprises
2016,Men,Prince Edward Island,12.0,Total all industries,Total all corporations
2016,Men,Prince Edward Island,0.0,Finance,Total all corporations
2016,Men,Prince Edward Island,3.0,Utilities,Total all corporations
2016,Men,Prince Edward Island,0.0,Management of companies and enterprises,Total all corporations
2016,Men,Prince Edward Island,0.0,Distributive trade,Total all corporations
2016,Men,Prince Edward Island,0.0,Energy,Total all corporations
2016,Men,Prince Edward Island,5.0,Manufacturing,Total all corporations
2016,Men,Prince Edward Island,0.0,Construction,Total all corporations
2016,Men,Prince Edward Island,4.0,Other industry,Total all corporations
2016,Men,Prince Edward Island,0.0,Unclassified industry,Total all corporations
2016,Men,Prince Edward Island,0.0,Total all industries,Government business entities
2016,Men,Prince Edward Island,0.0,Finance,Government business entities
2016,Men,Prince Edward Island,0.0,Utilities,Government business entities
2016,Men,Prince Edward Island,0.0,Management of companies and enterprises,Government business entities
2016,Men,Prince Edward Island,0.0,Distributive trade,Government business entities
2016,Men,Prince Edward Island,0.0,Energy,Government business entities
2016,Men,Prince Edward Island,0.0,Manufacturing,Government business entities
2016,Men,Prince Edward Island,0.0,Construction,Government business entities
2016,Men,Prince Edward Island,0.0,Other industry,Government business entities
2016,Men,Prince Edward Island,0.0,Unclassified industry,Government business entities
2016,Men,Prince Edward Island,0.0,Total all industries,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Finance,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Utilities,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Distributive trade,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Energy,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Manufacturing,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Construction,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Other industry,Publicly traded corporations
2016,Men,Prince Edward Island,0.0,Unclassified industry,Publicly traded corporations
2016,Men,Prince Edward Island,12.0,Total all industries,Private enterprises
2016,Men,Prince Edward Island,0.0,Finance,Private enterprises
2016,Men,Prince Edward Island,3.0,Utilities,Private enterprises
2016,Men,Prince Edward Island,0.0,Management of companies and enterprises,Private enterprises
2016,Men,Prince Edward Island,0.0,Distributive trade,Private enterprises
2016,Men,Prince Edward Island,0.0,Energy,Private enterprises
2016,Men,Prince Edward Island,5.0,Manufacturing,Private enterprises
2016,Men,Prince Edward Island,0.0,Construction,Private enterprises
2016,Men,Prince Edward Island,4.0,Other industry,Private enterprises
2016,Men,Prince Edward Island,0.0,Unclassified industry,Private enterprises
2016,Men,Prince Edward Island,0.0,Total all industries,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Finance,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Utilities,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Distributive trade,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Energy,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Manufacturing,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Construction,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Other industry,Unclassified enterprises
2016,Men,Prince Edward Island,0.0,Unclassified industry,Unclassified enterprises
2016,Women,Nova Scotia,122.0,Total all industries,Total all corporations
2016,Women,Nova Scotia,33.0,Finance,Total all corporations
2016,Women,Nova Scotia,3.0,Utilities,Total all corporations
2016,Women,Nova Scotia,29.0,Management of companies and enterprises,Total all corporations
2016,Women,Nova Scotia,17.0,Distributive trade,Total all corporations
2016,Women,Nova Scotia,4.0,Energy,Total all corporations
2016,Women,Nova Scotia,10.0,Manufacturing,Total all corporations
2016,Women,Nova Scotia,1.0,Construction,Total all corporations
2016,Women,Nova Scotia,19.0,Other industry,Total all corporations
2016,Women,Nova Scotia,6.0,Unclassified industry,Total all corporations
2016,Women,Nova Scotia,0.0,Total all industries,Government business entities
2016,Women,Nova Scotia,0.0,Finance,Government business entities
2016,Women,Nova Scotia,0.0,Utilities,Government business entities
2016,Women,Nova Scotia,0.0,Management of companies and enterprises,Government business entities
2016,Women,Nova Scotia,0.0,Distributive trade,Government business entities
2016,Women,Nova Scotia,0.0,Energy,Government business entities
2016,Women,Nova Scotia,0.0,Manufacturing,Government business entities
2016,Women,Nova Scotia,0.0,Construction,Government business entities
2016,Women,Nova Scotia,0.0,Other industry,Government business entities
2016,Women,Nova Scotia,0.0,Unclassified industry,Government business entities
2016,Women,Nova Scotia,1.0,Total all industries,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Finance,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Utilities,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Distributive trade,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Energy,Publicly traded corporations
2016,Women,Nova Scotia,1.0,Manufacturing,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Construction,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Other industry,Publicly traded corporations
2016,Women,Nova Scotia,0.0,Unclassified industry,Publicly traded corporations
2016,Women,Nova Scotia,121.0,Total all industries,Private enterprises
2016,Women,Nova Scotia,33.0,Finance,Private enterprises
2016,Women,Nova Scotia,3.0,Utilities,Private enterprises
2016,Women,Nova Scotia,29.0,Management of companies and enterprises,Private enterprises
2016,Women,Nova Scotia,17.0,Distributive trade,Private enterprises
2016,Women,Nova Scotia,4.0,Energy,Private enterprises
2016,Women,Nova Scotia,9.0,Manufacturing,Private enterprises
2016,Women,Nova Scotia,1.0,Construction,Private enterprises
2016,Women,Nova Scotia,19.0,Other industry,Private enterprises
2016,Women,Nova Scotia,6.0,Unclassified industry,Private enterprises
2016,Women,Nova Scotia,0.0,Total all industries,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Finance,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Utilities,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Distributive trade,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Energy,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Manufacturing,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Construction,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Other industry,Unclassified enterprises
2016,Women,Nova Scotia,0.0,Unclassified industry,Unclassified enterprises
2016,Men,Nova Scotia,204.0,Total all industries,Total all corporations
2016,Men,Nova Scotia,33.0,Finance,Total all corporations
2016,Men,Nova Scotia,16.0,Utilities,Total all corporations
2016,Men,Nova Scotia,46.0,Management of companies and enterprises,Total all corporations
2016,Men,Nova Scotia,17.0,Distributive trade,Total all corporations
2016,Men,Nova Scotia,2.0,Energy,Total all corporations
2016,Men,Nova Scotia,51.0,Manufacturing,Total all corporations
2016,Men,Nova Scotia,2.0,Construction,Total all corporations
2016,Men,Nova Scotia,29.0,Other industry,Total all corporations
2016,Men,Nova Scotia,8.0,Unclassified industry,Total all corporations
2016,Men,Nova Scotia,0.0,Total all industries,Government business entities
2016,Men,Nova Scotia,0.0,Finance,Government business entities
2016,Men,Nova Scotia,0.0,Utilities,Government business entities
2016,Men,Nova Scotia,0.0,Management of companies and enterprises,Government business entities
2016,Men,Nova Scotia,0.0,Distributive trade,Government business entities
2016,Men,Nova Scotia,0.0,Energy,Government business entities
2016,Men,Nova Scotia,0.0,Manufacturing,Government business entities
2016,Men,Nova Scotia,0.0,Construction,Government business entities
2016,Men,Nova Scotia,0.0,Other industry,Government business entities
2016,Men,Nova Scotia,0.0,Unclassified industry,Government business entities
2016,Men,Nova Scotia,5.0,Total all industries,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Finance,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Utilities,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Management of companies and enterprises,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Distributive trade,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Energy,Publicly traded corporations
2016,Men,Nova Scotia,2.0,Manufacturing,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Construction,Publicly traded corporations
2016,Men,Nova Scotia,0.0,Other industry,Publicly traded corporations
2016,Men,Nova Scotia,3.0,Unclassified industry,Publicly traded corporations
2016,Men,Nova Scotia,199.0,Total all industries,Private enterprises
2016,Men,Nova Scotia,33.0,Finance,Private enterprises
2016,Men,Nova Scotia,16.0,Utilities,Private enterprises
2016,Men,Nova Scotia,46.0,Management of companies and enterprises,Private enterprises
2016,Men,Nova Scotia,17.0,Distributive trade,Private enterprises
2016,Men,Nova Scotia,2.0,Energy,Private enterprises
2016,Men,Nova Scotia,49.0,Manufacturing,Private enterprises
2016,Men,Nova Scotia,2.0,Construction,Private enterprises
2016,Men,Nova Scotia,29.0,Other industry,Private enterprises
2016,Men,Nova Scotia,5.0,Unclassified industry,Private enterprises
2016,Men,Nova Scotia,0.0,Total all industries,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Finance,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Utilities,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Management of companies and enterprises,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Distributive trade,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Energy,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Manufacturing,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Construction,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Other industry,Unclassified enterprises
2016,Men,Nova Scotia,0.0,Unclassified industry,Unclassified enterprises
2016,Women,New Brunswick,26.0,Total all industries,Total all corporations
2016,Women,New Brunswick,2.0,Finance,Total all corporations
2016,Women,New Brunswick,0.0,Utilities,Total all corporations
2016,Women,New Brunswick,2.0,Management of companies and enterprises,Total all corporations
2016,Women,New Brunswick,0.0,Distributive trade,Total all corporations
2016,Women,New Brunswick,0.0,Energy,Total all corporations
2016,Women,New Brunswick,7.0,Manufacturing,Total all corporations
2016,Women,New Brunswick,5.0,Construction,Total all corporations
2016,Women,New Brunswick,10.0,Other industry,Total all corporations
2016,Women,New Brunswick,0.0,Unclassified industry,Total all corporations
2016,Women,New Brunswick,0.0,Total all industries,Government business entities
2016,Women,New Brunswick,0.0,Finance,Government business entities
2016,Women,New Brunswick,0.0,Utilities,Government business entities
2016,Women,New Brunswick,0.0,Management of companies and enterprises,Government business entities
2016,Women,New Brunswick,0.0,Distributive trade,Government business entities
2016,Women,New Brunswick,0.0,Energy,Government business entities
2016,Women,New Brunswick,0.0,Manufacturing,Government business entities
2016,Women,New Brunswick,0.0,Construction,Government business entities
2016,Women,New Brunswick,0.0,Other industry,Government business entities
2016,Women,New Brunswick,0.0,Unclassified industry,Government business entities
2016,Women,New Brunswick,0.0,Total all industries,Publicly traded corporations
2016,Women,New Brunswick,0.0,Finance,Publicly traded corporations
